id(a),a.type,a.tag,b.timestamp,b.type,id(c),c.type,c.tag
3868,process,attack,1620806837.688,Process_Create,3871,process,attack
3871,process,attack,1620806842.816,open,19092,file,attack
3879,process,attack,1620812077.91,Process_Create,3881,process,attack
3881,process,attack,1620812077.986,Process_Create,7080,process,attack
3881,process,attack,1620812077.986,Process_Create,15057,process,attack
3881,process,attack,1620812077.986,Process_Create,7081,process,attack
3881,process,attack,1620812077.986,Process_Create,14953,process,attack
3881,process,attack,1620812077.986,Process_Create,7084,process,attack
3881,process,attack,1620812077.986,Process_Create,17068,process,attack
3881,process,attack,1620812077.986,Process_Create,14952,process,attack
3881,process,attack,1620812077.986,Process_Create,15056,process,attack
3881,process,attack,1620812077.986,Process_Create,7082,process,attack
3881,process,attack,1620812077.986,Process_Create,15058,process,attack
3881,process,attack,1620812077.986,Process_Create,16710,process,attack
3881,process,attack,1620812077.986,Process_Create,16709,process,attack
3881,process,attack,1620812077.986,open,19092,file,attack
4227,process,attack,1620758537.345,Process_Create,4230,process,attack
4230,process,attack,1620758539.193,Process_Create,16727,process,attack
4230,process,attack,1620758539.193,Process_Create,15061,process,attack
4230,process,attack,1620758539.193,open,19092,file,attack
4239,process,attack,1620758599.15,Process_Create,4242,process,attack
4242,process,attack,1620758599.566,open,19092,file,attack
4253,process,attack,1620759355.884,Process_Create,4255,process,attack
4255,process,attack,1620759356.26,Process_Create,15162,process,attack
4255,process,attack,1620759356.26,Process_Create,15161,process,attack
4255,process,attack,1620759356.260,open,19092,file,attack
4270,process,attack,1620761015.136,Process_Create,13814,process,attack
4271,process,attack,1620761026.812,Process_Create,4275,process,attack
4275,process,attack,1620761027.192,Process_Create,7083,process,attack
4275,process,attack,1620761027.192,open,19092,file,attack
4810,process,attack,1620696600.000,Process_Create,5163,process,attack
4810,process,attack,1620623422.000,Process_Create,5242,process,attack
4810,process,attack,1620623422.000,Process_Create,5258,process,attack
4810,process,attack,1620623422.000,Process_Create,5261,process,attack
4810,process,attack,1620709798.000,Process_Create,5161,process,attack
4810,process,attack,1620623422.000,Process_Create,5224,process,attack
4810,process,attack,1620625185.000,Process_Create,5174,process,attack
4810,process,attack,1620623422.000,Process_Create,5256,process,attack
4810,process,attack,1620624436.000,Process_Create,5179,process,attack
4810,process,attack,1620623422.000,Process_Create,5235,process,attack
4810,process,attack,1620623425.000,Process_Create,5193,process,attack
4810,process,attack,1620738600.000,Process_Create,5160,process,attack
4810,process,attack,1620817200.000,Process_Create,4812,process,attack
4810,process,attack,1620680997.000,Process_Create,5166,process,attack
4810,process,attack,1620623424.000,Process_Create,5194,process,attack
4810,process,attack,1620786600.000,Process_Create,5127,process,attack
4810,process,attack,1620796202.000,Process_Create,5126,process,attack
4810,process,attack,1620623865.000,Process_Create,5180,process,attack
4810,process,attack,1620623422.000,Process_Create,5204,process,attack
4810,process,attack,1620693806.000,Process_Create,5164,process,attack
4810,process,attack,1620624436.000,Process_Create,5178,process,attack
4810,process,attack,1620623422.000,Process_Create,5201,process,attack
4810,process,attack,1620644985.000,Process_Create,5172,process,attack
4810,process,attack,1620652196.000,Process_Create,5169,process,attack
4810,process,attack,1620623865.000,Process_Create,5182,process,attack
4810,process,attack,1620780465.000,Process_Create,5128,process,attack
4810,process,attack,1620680402.000,Process_Create,5167,process,attack
4810,process,attack,1620693003.000,Process_Create,5165,process,attack
4810,process,attack,1620767401.000,Process_Create,5131,process,attack
4810,process,attack,1620623422.000,Process_Create,5252,process,attack
4810,process,attack,1620623865.000,Process_Create,5183,process,attack
4810,process,attack,1620623422.000,Process_Create,5255,process,attack
4810,process,attack,1620780233.000,Process_Create,5129,process,attack
4810,process,attack,1620623422.000,Process_Create,5154,process,attack
4810,process,attack,1620623422.000,Process_Create,5200,process,attack
4810,process,attack,1620623422.000,Process_Create,4943,process,attack
4810,process,attack,1620623445.000,Process_Create,5190,process,attack
4810,process,attack,1620623422.000,Process_Create,5110,process,attack
4810,process,attack,1620806980.000,Process_Create,5102,process,attack
4810,process,attack,1620623422.000,Process_Create,5195,process,attack
4810,process,attack,1620623422.000,Process_Create,5251,process,attack
4810,process,attack,1620623422.000,Process_Create,5202,process,attack
4810,process,attack,1620825003.000,Process_Create,4811,process,attack
4810,process,attack,1620639925.000,Process_Create,5173,process,attack
4810,process,attack,1620623422.000,Process_Create,4814,process,attack
4810,process,attack,1620644993.000,Process_Create,5170,process,attack
4810,process,attack,1620624436.000,Process_Create,5176,process,attack
4810,process,attack,1620624436.000,Process_Create,5177,process,attack
